Student ID,UID,Time,Date
202311123,1b  a2  b1  4e  ,12:56:33,2024-03-27
202311106,6b  77  ef  4d  ,12:56:38,2024-03-27
202311044,b7  41  c1  5c  ,12:56:42,2024-03-27
202311005,46  9c  31  04  ,12:56:44,2024-03-27
202011052,e3  18  5c  b5  ,12:56:48,2024-03-27
202311134,76  8e  33  04  ,12:56:52,2024-03-27
202311158,57  e4  ca  5c  ,12:56:57,2024-03-27
202211056,8b  3e  de  4e  ,12:57:00,2024-03-27
202311054,86  31  33  04  ,12:57:03,2024-03-27
202311025,d7  6a  cb  5c  ,12:57:06,2024-03-27
202111104,b3  8a  62  b5  ,12:57:09,2024-03-27
202111058,83  2e  60  b5  ,12:57:13,2024-03-27
202011118,22  51  b0  e5  ,12:57:17,2024-03-27
202311144,47  3d  c4  5c  ,12:57:21,2024-03-27
201911048,b3  d9  5d  b5  ,12:57:26,2024-03-27
202111038,f2  68  ac  e5  ,12:57:30,2024-03-27
202111119,d3  1a  67  b5  ,12:57:33,2024-03-27
202111125,93  e2  61  b5  ,12:57:35,2024-03-27
202211053,03  e9  60  b5  ,12:57:39,2024-03-27
202111008,43  4d  25  ae  ,12:57:43,2024-03-27
202311132,2b  9a  d0  4e  ,12:57:48,2024-03-27
202011056,43  4e  5e  b5  ,12:57:51,2024-03-27
202311180,eb  47  fe  4d  ,12:57:54,2024-03-27
202111051,e2  31  ae  e5  ,12:57:57,2024-03-27
202011091,b7  51  c8  5c  ,12:58:00,2024-03-27
202311150,97  3c  c5  5c  ,12:58:03,2024-03-27
202311165,27  85  cb  5c  ,12:58:07,2024-03-27
202011094,73  bc  64  b5  ,12:58:10,2024-03-27
202111085,c2  35  af  e5  ,12:58:12,2024-03-27
202111164,b7  4b  c5  5c  ,12:58:15,2024-03-27
202311052,0b  42  a1  4e  ,12:58:19,2024-03-27
202311188,eb  4c  79  4e  ,12:58:21,2024-03-27
202211075,ed  ed  03  c5  ,12:58:23,2024-03-27
201911162,13  5b  5e  b5  ,12:58:26,2024-03-27
