Student ID,UID,Time,Date
202411017,bc  bb  6d  75  ,12:46:19,2025-03-17
202411154,0d  14  2e  c4  ,12:46:26,2025-03-17
202211058,93  3b  63  b5  ,12:46:30,2025-03-17
202311061,1c  a0  81  76  ,12:46:34,2025-03-17
202111196,83  9e  64  b5  ,12:46:41,2025-03-17
202411006,0d  07  0b  c5  ,12:46:47,2025-03-17
202311049,96  9a  33  04  ,12:46:51,2025-03-17
202211001,63  59  61  b5  ,12:46:57,2025-03-17
202211088,8b  a8  dc  4e  ,12:47:02,2025-03-17
202211089,db  11  20  4e  ,12:47:06,2025-03-17
202211042,13  9e  5d  b5  ,12:47:10,2025-03-17
202211128,3b  d2  bb  4e  ,12:47:14,2025-03-17
202211120,ec  99  6f  dd  ,12:47:18,2025-03-17
202411045,8d  59  2d  c5  ,12:47:26,2025-03-17
202311216,a7  17  c0  5c  ,12:47:32,2025-03-17
202311006,27  5a  c3  5c  ,12:47:37,2025-03-17
202311215,a7  2c  ad  5c  ,12:47:42,2025-03-17
202211182,eb  50  ce  4d  ,12:47:46,2025-03-17
202411126,ad  6a  0b  c5  ,12:47:52,2025-03-17
202411151,0d  88  f5  c4  ,12:47:56,2025-03-17
202311162,d7  55  88  5c  ,12:48:03,2025-03-17
202111102,73  6f  5b  b5  ,12:48:08,2025-03-17
202311058,f6  dc  32  04  ,12:48:15,2025-03-17
202211064,c3  b9  62  b5  ,12:48:25,2025-03-17
202411035,bd  7f  2d  c5  ,12:48:31,2025-03-17
202411048,bd  3e  14  c5  ,12:48:36,2025-03-17
202411019,9d  b1  30  c5  ,12:48:39,2025-03-17
202411084,1d  24  f3  c4  ,12:48:43,2025-03-17
202411099,4d  15  fd  c4  ,12:48:47,2025-03-17
202411024,9d  e4  04  c5  ,12:49:02,2025-03-17
202411016,ed  3d  35  c5  ,12:49:08,2025-03-17
202211008,33  f8  62  b5  ,12:49:17,2025-03-17
202411003,4d  ff  f2  c4  ,12:49:44,2025-03-17
202411063,3d  89  47  c4  ,12:49:53,2025-03-17
202311206,27  f7  b5  5c  ,12:50:19,2025-03-17
202311078,8b  67  eb  4d  ,12:50:26,2025-03-17
202011115,27  86  cb  5c  ,12:50:32,2025-03-17
202211185,5e  06  20  14  ,12:50:37,2025-03-17
202411108,0d  6e  28  c5  ,12:50:44,2025-03-17
202411136,9d  59  06  c5  ,12:50:52,2025-03-17
202411067,8d  d1  06  c5  ,12:50:56,2025-03-17
202411137,fd  10  f6  c4  ,12:51:00,2025-03-17
202462029,dc  f8  33  75  ,12:51:03,2025-03-17
202462028,0d  d0  03  c5  ,12:51:07,2025-03-17
202462015,cd  73  32  c5  ,12:51:12,2025-03-17
202411148,6d  25  36  c5  ,12:51:19,2025-03-17
202311034,a7  4c  9f  5c  ,12:51:29,2025-03-17
202411128,dd  a3  3b  c4  ,12:51:36,2025-03-17
202411061,8d  5e  10  c5  ,12:51:43,2025-03-17
202462021,8d  f9  05  c5  ,12:51:48,2025-03-17
202411076,ed  e1  26  c5  ,12:52:12,2025-03-17
202211157,2b  8f  46  4e  ,12:52:17,2025-03-17
202011087,9c  81  51  75  ,12:53:18,2025-03-17
202411166,3c  1a  80  76  ,12:53:24,2025-03-17
202462018,9d  c8  2c  c5  ,12:53:29,2025-03-17
202411125,1d  ff  2c  c5  ,12:53:37,2025-03-17
202211038,d3  e8  66  b5  ,12:53:41,2025-03-17
202011158,f2  5d  b0  e5  ,12:53:51,2025-03-17
202211021,57  a1  c9  5c  ,12:53:59,2025-03-17
202211010,93  6f  5d  b5  ,12:54:04,2025-03-17
202411172,3d  6c  25  c5  ,12:54:10,2025-03-17
202411026,cd  7d  33  c5  ,12:54:16,2025-03-17
202411130,1d  57  24  c5  ,12:55:11,2025-03-17
202411030,5d  eb  2f  c5  ,12:55:34,2025-03-17
202411040,2d  d6  1c  c5  ,12:55:48,2025-03-17
202422005,fd  b0  34  c5  ,12:56:18,2025-03-17
202111155,fc  cd  70  75  ,12:56:33,2025-03-17
202311191,cb  08  8b  4e  ,12:56:49,2025-03-17
202111068,73  0b  68  b5  ,12:56:59,2025-03-17
202311064,a7  df  c4  5c  ,12:57:05,2025-03-17
202411163,0d  ae  31  c5  ,12:57:11,2025-03-17
202311039,27  1a  8b  5c  ,12:57:20,2025-03-17
202411109,ed  e2  4a  c4  ,12:57:23,2025-03-17
202211220,3b  58  3f  4e  ,12:57:31,2025-03-17
202211165,c6  92  31  04  ,12:58:31,2025-03-17
202111130,d3  3d  65  b5  ,12:58:40,2025-03-17
202462008,ad  2d  f4  c4  ,12:58:45,2025-03-17
