Student ID,UID,Time,Date
202311213,47  7d  c0  5c  ,12:47:48,2024-05-29
202311054,86  31  33  04  ,12:47:51,2024-05-29
202311005,46  9c  31  04  ,12:47:54,2024-05-29
202311040,57  4c  9f  5c  ,12:48:00,2024-05-29
202311147,d7  a8  ad  5c  ,12:48:03,2024-05-29
202311044,b7  41  c1  5c  ,12:48:15,2024-05-29
202311075,ab  bc  d5  4e  ,12:48:19,2024-05-29
202111038,f2  68  ac  e5  ,12:48:32,2024-05-29
202311180,eb  47  fe  4d  ,12:48:39,2024-05-29
202311189,7b  d4  55  4e  ,12:48:42,2024-05-29
202011052,e3  18  5c  b5  ,12:48:46,2024-05-29
202111008,43  4d  25  ae  ,12:48:49,2024-05-29
202111104,b3  8a  62  b5  ,12:48:53,2024-05-29
202311025,d7  6a  cb  5c  ,12:48:56,2024-05-29
202311052,0b  42  a1  4e  ,12:48:59,2024-05-29
202111125,93  e2  61  b5  ,12:49:01,2024-05-29
202311046,d7  27  c6  5c  ,12:49:04,2024-05-29
202311174,c7  5e  c8  5c  ,12:49:07,2024-05-29
202211044,93  11  5e  b5  ,12:49:09,2024-05-29
202311007,17  9d  ca  5c  ,12:49:17,2024-05-29
202311007,17  9d  ca  5c  ,12:49:19,2024-05-29
202111163,b3  cd  5b  b5  ,12:49:23,2024-05-29
202111061,d3  e0  5f  b5  ,12:49:27,2024-05-29
202311150,97  3c  c5  5c  ,12:49:30,2024-05-29
202111119,d3  1a  67  b5  ,12:49:32,2024-05-29
202211195,c6  f5  32  04  ,12:49:36,2024-05-29
202311104,cb  38  96  4e  ,12:49:43,2024-05-29
202311053,bb  d2  7e  4e  ,12:49:46,2024-05-29
201911090,ab  3e  d7  4e  ,12:49:50,2024-05-29
202211075,ed  ed  03  c5  ,12:50:04,2024-05-29
201911162,13  5b  5e  b5  ,12:50:09,2024-05-29
202311210,c7  f6  c8  5c  ,12:50:12,2024-05-29
202311211,97  85  c7  5c  ,12:50:15,2024-05-29
202311055,cb  60  06  4e  ,12:50:18,2024-05-29
202111058,83  2e  60  b5  ,12:50:20,2024-05-29
202211053,03  e9  60  b5  ,12:50:24,2024-05-29
202311169,17  c0  c7  5c  ,12:50:30,2024-05-29
202311140,db  dc  23  4e  ,12:50:34,2024-05-29
202311088,bb  bf  a4  4e  ,12:50:38,2024-05-29
201911159,9d  71  2e  c5  ,12:50:42,2024-05-29
202311158,57  e4  ca  5c  ,12:50:46,2024-05-29
202311045,a7  7d  c6  5c  ,12:50:48,2024-05-29
202311191,cb  08  8b  4e  ,12:50:53,2024-05-29
202311039,27  1a  8b  5c  ,12:50:56,2024-05-29
202211214,3b  05  82  4e  ,12:50:59,2024-05-29
202111051,e2  31  ae  e5  ,12:51:02,2024-05-29
202211194,db  ee  9b  4e  ,12:51:05,2024-05-29
202011102,d2  3f  b0  e5  ,12:51:07,2024-05-29
202111122,d3  bf  62  b5  ,12:51:12,2024-05-29
201911157,d3  14  67  b5  ,12:51:15,2024-05-29
202311132,2b  9a  d0  4e  ,12:51:18,2024-05-29
202311024,67  03  ae  5c  ,12:51:21,2024-05-29
202311014,57  a4  c0  5c  ,12:51:23,2024-05-29
202311175,67  ef  c3  5c  ,12:51:26,2024-05-29
202111085,c2  35  af  e5  ,12:51:29,2024-05-29
202111170,0d  d0  f7  c4  ,12:51:35,2024-05-29
202311051,d7  c7  c0  5c  ,12:51:38,2024-05-29
202311127,eb  36  a3  4e  ,12:51:45,2024-05-29
202311063,fb  1a  04  4e  ,12:51:48,2024-05-29
202311069,0b  96  24  4e  ,12:51:50,2024-05-29
202111033,e2  06  ab  e5  ,12:51:53,2024-05-29
202311155,97  2b  88  5c  ,12:51:59,2024-05-29
202311151,c7  5e  cc  5c  ,12:52:04,2024-05-29
202111139,13  d6  60  b5  ,12:52:07,2024-05-29
202311083,0b  36  d9  4e  ,12:52:13,2024-05-29
202011056,43  4e  5e  b5  ,12:52:17,2024-05-29
202111141,43  12  68  b5  ,12:52:21,2024-05-29
202211046,e3  2b  63  b5  ,12:52:27,2024-05-29
202211210,fd  31  00  c5  ,12:52:32,2024-05-29
202311134,76  8e  33  04  ,12:52:35,2024-05-29
202311100,ab  f9  22  4e  ,12:52:40,2024-05-29
202311148,16  b5  32  04  ,12:52:42,2024-05-29
202211016,c3  a0  63  b5  ,12:52:46,2024-05-29
202011118,22  51  b0  e5  ,12:52:49,2024-05-29
202311084,8b  2d  0b  4e  ,12:52:55,2024-05-29
202311193,d7  b0  cc  5c  ,12:52:58,2024-05-29
202311106,6b  77  ef  4d  ,12:53:01,2024-05-29
202211017,f3  35  5e  b5  ,12:53:10,2024-05-29
202311137,8b  1d  3e  4e  ,12:53:12,2024-05-29
202311144,47  3d  c4  5c  ,12:53:16,2024-05-29
202311095,db  c5  77  4e  ,12:53:20,2024-05-29
202211187,fb  80  64  4e  ,12:53:42,2024-05-29
202311173,07  50  c7  5c  ,12:54:02,2024-05-29
