Student ID,UID,Time,Date
202211112,7b  a3  ad  4e  ,12:17:59,2024-03-04
202311089,6b  12  61  4e  ,12:18:06,2024-03-04
202311047,27  fe  c7  5c  ,12:18:09,2024-03-04
202011094,73  bc  64  b5  ,12:18:13,2024-03-04
202211187,fb  80  64  4e  ,12:18:15,2024-03-04
202311182,cb  42  04  4e  ,12:18:23,2024-03-04
202311129,ab  e0  d6  4e  ,12:18:27,2024-03-04
202311045,a7  7d  c6  5c  ,12:18:35,2024-03-04
202311134,76  8e  33  04  ,12:18:40,2024-03-04
202311069,0b  96  24  4e  ,12:18:45,2024-03-04
202311005,46  9c  31  04  ,12:18:49,2024-03-04
202311044,b7  41  c1  5c  ,12:18:52,2024-03-04
202311025,d7  6a  cb  5c  ,12:18:56,2024-03-04
202311151,c7  5e  cc  5c  ,12:19:06,2024-03-04
202311106,6b  77  ef  4d  ,12:19:09,2024-03-04
202111139,13  d6  60  b5  ,12:19:16,2024-03-04
202211103,eb  e0  c1  4e  ,12:19:21,2024-03-04
202111051,e2  31  ae  e5  ,12:19:28,2024-03-04
202311088,bb  bf  a4  4e  ,12:19:35,2024-03-04
202111058,83  2e  60  b5  ,12:19:38,2024-03-04
202311148,16  b5  32  04  ,12:19:42,2024-03-04
202311144,47  3d  c4  5c  ,12:19:46,2024-03-04
202311091,5b  68  9b  4e  ,12:19:50,2024-03-04
202211194,db  ee  9b  4e  ,12:19:58,2024-03-04
202011102,d2  3f  b0  e5  ,12:20:03,2024-03-04
202111125,93  e2  61  b5  ,12:20:07,2024-03-04
202211017,f3  35  5e  b5  ,12:20:10,2024-03-04
202211044,93  11  5e  b5  ,12:20:14,2024-03-04
202111119,d3  1a  67  b5  ,12:20:17,2024-03-04
202311077,9b  4b  df  4e  ,12:20:21,2024-03-04
202211195,c6  f5  32  04  ,12:20:29,2024-03-04
202311082,db  67  04  4e  ,12:20:37,2024-03-04
202311098,1b  3b  61  4e  ,12:20:40,2024-03-04
201911185,83  d6  64  b5  ,12:20:44,2024-03-04
202011118,22  51  b0  e5  ,12:21:00,2024-03-04
202211059,03  be  5f  b5  ,12:21:07,2024-03-04
202311017,57  b7  b6  5c  ,12:21:12,2024-03-04
202111163,b3  cd  5b  b5  ,12:21:15,2024-03-04
202311132,2b  9a  d0  4e  ,12:21:19,2024-03-04
201911157,d3  14  67  b5  ,12:21:21,2024-03-04
202111122,d3  bf  62  b5  ,12:21:26,2024-03-04
202311147,d7  a8  ad  5c  ,12:21:47,2024-03-04
202211076,3b  03  ec  4d  ,12:21:51,2024-03-04
202311083,0b  36  d9  4e  ,12:21:56,2024-03-04
202311055,cb  60  06  4e  ,12:21:59,2024-03-04
202311052,0b  42  a1  4e  ,12:22:02,2024-03-04
202111061,d3  e0  5f  b5  ,12:22:05,2024-03-04
202311040,57  4c  9f  5c  ,12:22:08,2024-03-04
201911090,ab  3e  d7  4e  ,12:22:11,2024-03-04
202111038,f2  68  ac  e5  ,12:22:16,2024-03-04
202211214,3b  05  82  4e  ,12:22:18,2024-03-04
201911048,b3  d9  5d  b5  ,12:22:22,2024-03-04
202211142,e6  c4  33  04  ,12:22:26,2024-03-04
202111008,43  4d  25  ae  ,12:22:29,2024-03-04
202311213,47  7d  c0  5c  ,12:22:33,2024-03-04
202311095,db  c5  77  4e  ,12:22:36,2024-03-04
202211099,9b  69  16  4e  ,12:22:40,2024-03-04
202011052,e3  18  5c  b5  ,12:22:43,2024-03-04
202311086,bb  0e  d7  4e  ,12:22:46,2024-03-04
202211075,ed  ed  03  c5  ,12:22:51,2024-03-04
202211071,03  9b  24  ae  ,12:22:54,2024-03-04
202111085,c2  35  af  e5  ,12:22:59,2024-03-04
202311169,17  c0  c7  5c  ,12:23:03,2024-03-04
202311169,17  c0  c7  5c  ,12:23:06,2024-03-04
202311140,db  dc  23  4e  ,12:23:08,2024-03-04
202311075,ab  bc  d5  4e  ,12:23:11,2024-03-04
202111060,43  99  66  b5  ,12:23:17,2024-03-04
202111141,43  12  68  b5  ,12:23:20,2024-03-04
202111033,e2  06  ab  e5  ,12:23:26,2024-03-04
202111012,d3  98  5f  b5  ,12:23:29,2024-03-04
202211222,9b  7b  d5  4e  ,12:23:31,2024-03-04
202311143,16  74  33  04  ,12:23:37,2024-03-04
202311037,57  4a  9f  5c  ,12:23:40,2024-03-04
202311057,db  95  f8  4d  ,12:23:46,2024-03-04
202211053,03  e9  60  b5  ,12:23:54,2024-03-04
202111164,b7  4b  c5  5c  ,12:23:58,2024-03-04
201911159,4e  38  23  14  ,12:24:01,2024-03-04
202311024,67  03  ae  5c  ,12:24:04,2024-03-04
202311014,57  a4  c0  5c  ,12:24:08,2024-03-04
202311053,bb  d2  7e  4e  ,12:24:13,2024-03-04
202311150,97  3c  c5  5c  ,12:24:22,2024-03-04
202311180,eb  47  fe  4d  ,12:24:25,2024-03-04
202311191,cb  08  8b  4e  ,12:24:28,2024-03-04
202211219,6b  81  43  4e  ,12:24:31,2024-03-04
202211094,c7  ec  c4  5c  ,12:24:35,2024-03-04
202311039,27  1a  8b  5c  ,12:24:43,2024-03-04
202311173,07  50  c7  5c  ,12:24:46,2024-03-04
202311211,97  85  c7  5c  ,12:24:50,2024-03-04
202111104,b3  8a  62  b5  ,12:24:55,2024-03-04
202311210,c7  f6  c8  5c  ,12:25:00,2024-03-04
202311130,3b  46  9b  4e  ,12:25:05,2024-03-04
202111079,d3  8c  5d  b5  ,12:25:08,2024-03-04
202311033,b7  5c  99  5c  ,12:25:13,2024-03-04
202011103,2b  18  d2  4d  ,12:25:17,2024-03-04
202211036,8b  af  1f  4e  ,12:25:21,2024-03-04
202311020,57  40  c4  5c  ,12:25:27,2024-03-04
202311160,a7  f7  cb  5c  ,12:25:30,2024-03-04
201911162,13  5b  5e  b5  ,12:25:33,2024-03-04
202211046,e3  2b  63  b5  ,12:25:36,2024-03-04
