Student ID,UID,Time,Date
202311106,6b  77  ef  4d  ,12:49:46,2024-04-24
202311044,b7  41  c1  5c  ,12:49:49,2024-04-24
202011120,b3  81  63  b5  ,12:49:52,2024-04-24
202311005,46  9c  31  04  ,12:49:55,2024-04-24
202111008,43  4d  25  ae  ,12:49:58,2024-04-24
202311137,8b  1d  3e  4e  ,12:50:01,2024-04-24
202011118,22  51  b0  e5  ,12:50:04,2024-04-24
202111058,83  2e  60  b5  ,12:50:07,2024-04-24
202111038,f2  68  ac  e5  ,12:50:09,2024-04-24
202111119,d3  1a  67  b5  ,12:50:17,2024-04-24
202211056,8b  3e  de  4e  ,12:50:20,2024-04-24
201911048,b3  d9  5d  b5  ,12:50:23,2024-04-24
202311025,d7  6a  cb  5c  ,12:50:27,2024-04-24
202111104,b3  8a  62  b5  ,12:50:30,2024-04-24
202111125,93  e2  61  b5  ,12:50:32,2024-04-24
202311152,d7  a7  87  5c  ,12:50:37,2024-04-24
202311180,eb  47  fe  4d  ,12:50:40,2024-04-24
202311104,cb  38  96  4e  ,12:50:43,2024-04-24
202311053,bb  d2  7e  4e  ,12:50:46,2024-04-24
202311158,57  e4  ca  5c  ,12:50:49,2024-04-24
202311052,0b  42  a1  4e  ,12:50:52,2024-04-24
202311188,eb  4c  79  4e  ,12:50:59,2024-04-24
202211195,c6  f5  32  04  ,12:51:04,2024-04-24
202311140,db  dc  23  4e  ,12:51:06,2024-04-24
202311169,17  c0  c7  5c  ,12:51:10,2024-04-24
202311095,db  c5  77  4e  ,12:51:16,2024-04-24
202311132,2b  9a  d0  4e  ,12:51:19,2024-04-24
202311046,d7  27  c6  5c  ,12:51:22,2024-04-24
202211075,ed  ed  03  c5  ,12:51:25,2024-04-24
201911162,13  5b  5e  b5  ,12:51:27,2024-04-24
202211076,3b  03  ec  4d  ,12:51:31,2024-04-24
202211099,9b  69  16  4e  ,12:51:33,2024-04-24
202311086,bb  0e  d7  4e  ,12:51:37,2024-04-24
202311181,0b  98  1c  4e  ,12:51:41,2024-04-24
202311156,17  95  c4  5c  ,12:51:43,2024-04-24
202311024,67  03  ae  5c  ,12:51:46,2024-04-24
202111060,43  99  66  b5  ,12:51:49,2024-04-24
202111141,43  12  68  b5  ,12:51:53,2024-04-24
202111012,d3  98  5f  b5  ,12:51:58,2024-04-24
202311160,a7  f7  cb  5c  ,12:52:01,2024-04-24
202211044,93  11  5e  b5  ,12:52:03,2024-04-24
202311211,97  85  c7  5c  ,12:52:06,2024-04-24
202311210,c7  f6  c8  5c  ,12:52:09,2024-04-24
201911185,83  d6  64  b5  ,12:52:15,2024-04-24
202311150,97  3c  c5  5c  ,12:52:18,2024-04-24
202311123,1b  a2  b1  4e  ,12:52:24,2024-04-24
202111051,e2  31  ae  e5  ,12:52:27,2024-04-24
202111122,d3  bf  62  b5  ,12:52:34,2024-04-24
202211214,3b  05  82  4e  ,12:52:37,2024-04-24
202111163,b3  cd  5b  b5  ,12:52:41,2024-04-24
202111170,0d  d0  f7  c4  ,12:52:44,2024-04-24
202111085,c2  35  af  e5  ,12:52:46,2024-04-24
202111021,b3  4d  60  b5  ,12:52:49,2024-04-24
202311144,47  3d  c4  5c  ,12:52:52,2024-04-24
202311133,6b  08  e2  4e  ,12:52:55,2024-04-24
202311100,ab  f9  22  4e  ,12:52:59,2024-04-24
202311007,17  9d  ca  5c  ,12:53:02,2024-04-24
202311174,c7  5e  c8  5c  ,12:53:06,2024-04-24
202011102,d2  3f  b0  e5  ,12:53:09,2024-04-24
202211053,03  e9  60  b5  ,12:53:12,2024-04-24
202211152,5b  c8  08  4e  ,12:53:15,2024-04-24
202111024,23  ae  67  b5  ,12:53:20,2024-04-24
202311165,27  85  cb  5c  ,12:53:24,2024-04-24
201811028,42  8b  b0  e5  ,12:53:27,2024-04-24
202311182,b6  f3  32  04  ,12:53:32,2024-04-24
201911090,ab  3e  d7  4e  ,12:53:41,2024-04-24
